241003261,2749,194,gen,2749,IIT Jodhpur,Computer Science and Engineering,,4,Ahmedabad,Gujarat
241003264,2034,205,gen,2034,IIT Bombay,Mechanical Engineering,,4,Ahmedabad,Gujarat
241003268,,98,OBC,9288,,,,,Ahmedabad,Gujarat
241003270,17806,123,EWS,2532,,,,,Ahmedabad,Gujarat
241003271,5795,166,gen,5795,,,,,Ahmedabad,Gujarat
241003278,,,PREP-SC,8152,,,,,Ahmedabad,Gujarat
241003286,4183,179,gen,4183,IIT Guwahati,Mechanical Engineering,,4,Ahmedabad,Gujarat
241003288,22371,114,gen,22371,,,,,Ahmedabad,Gujarat
241003290,9857,146,gen,9857,,,,,Ahmedabad,Gujarat
241003292,7101,159,gen,7101,,,,,Ahmedabad,Gujarat
241003297,19410,120,gen,19410,,,,,Ahmedabad,Gujarat
241003304,6085,164,gen,6085,IIT Jammu,Computer Science and Engineering,,4,Ahmedabad,Gujarat
241003305,12836,136,gen,12836,,,,,Ahmedabad,Gujarat
241003318,,,PREP-ST,362,,,,,Ahmedabad,Gujarat
241003321,15027,130,gen,15027,IIT Palakkad,Civil Engineering,,4,Ahmedabad,Gujarat
241003325,7675,155,EWS,937,IIT (ISM) Dhanbad,Mechanical Engineering,,4,Ahmedabad,Gujarat
241003328,11759,139,EWS,1566,,,,,Ahmedabad,Gujarat
241003330,5831,166,gen,5831,,,,,Ahmedabad,Gujarat
241003333,20895,117,gen,20895,IIT (BHU) Varanasi,Mining Engineering,,4,Ahmedabad,Gujarat
241003336,8755,150,gen,8755,IIT (ISM) Dhanbad,Mechanical Engineering,,4,Ahmedabad,Gujarat
241003344,10230,144,gen,10230,,,,,Ahmedabad,Gujarat
241003348,22231,115,gen,22231,,,,,Ahmedabad,Gujarat
241003352,13022,135,gen,13022,,,,,Ahmedabad,Gujarat
241003355,23120,113,EWS,3485,,,,,Ahmedabad,Gujarat
241003359,25363,109,gen,25363,,,,,Ahmedabad,Gujarat
241003360,7953,154,gen,7953,,,,,Ahmedabad,Gujarat
241003361,,60,SC,4473,,,,,Ahmedabad,Gujarat
241003365,6073,164,gen,6073,IIT Gandhinagar,Mechanical Engineering,,4,Ahmedabad,Gujarat
241003367,,,PREP-SC,1903,,,,,Ahmedabad,Gujarat
241003371,,76,SC,2585,IIT Bhubaneswar,Civil Engineering,,4,Ahmedabad,Gujarat
241003376,,100,EWS,5077,,,,,Ahmedabad,Gujarat
241003383,19436,120,EWS,2797,,,,,Ahmedabad,Gujarat
241003384,276,272,gen,276,IIT Kharagpur,Computer Science and Engineering,,4,Ahmedabad,Gujarat
241003385,18400,122,OBC,4560,,,,,Ahmedabad,Gujarat
241003386,19729,119,EWS,2850,,,,,Ahmedabad,Gujarat
241003387,24388,111,gen,24388,,,,,Ahmedabad,Gujarat
241003388,,,PREP-SC,4313,,,,,Ahmedabad,Gujarat
241003389,3022,191,gen,3022,IIT Gandhinagar,Electrical Engineering,,4,Ahmedabad,Gujarat
241003396,21817,115,OBC,5545,IIT Gandhinagar,Integrated Circuit Design & Technology,,4,Ahmedabad,Gujarat
241003400,,57,SC,4970,,,,,Ahmedabad,Gujarat
241003409,,,PREP-SC,4345,,,,,Ahmedabad,Gujarat
241003411,25575,109,gen,25575,,,,,Ahmedabad,Gujarat
241003414,10135,145,EWS,1310,IIT (BHU) Varanasi,Chemical Engineering,,4,Ahmedabad,Gujarat
241003416,1391,221,gen,1391,IIT Roorkee,Electronics and Communication Engineering,,4,Ahmedabad,Gujarat
241003417,5634,167,OBC,1115,IIT Gandhinagar,Artificial Intelligence,,4,Ahmedabad,Gujarat
241003419,18791,121,gen,18791,,,,,Ahmedabad,Gujarat
241003425,22822,113,gen,22822,,,,,Ahmedabad,Gujarat
241003430,18153,123,EWS,2591,,,,,Ahmedabad,Gujarat
241003434,7204,157,gen,7204,,,,,Ahmedabad,Gujarat
241003441,,,PREP-ST,2872,,,,,Ahmedabad,Gujarat
241003442,6500,162,OBC,1322,IIT Bombay,Energy Engineering,,4,Ahmedabad,Gujarat
241003445,7383,157,gen,7383,,,,,Ahmedabad,Gujarat
241003448,2844,193,gen,2844,IIT Gandhinagar,Computer Science and Engineering,,4,Ahmedabad,Gujarat
241003449,4859,173,gen,4859,IIT Gandhinagar,Mechanical Engineering,,4,Ahmedabad,Gujarat
241003453,,,PREP-ST,1945,,,,,Ahmedabad,Gujarat
241003454,18448,122,EWS,2629,,,,,Ahmedabad,Gujarat
241003456,2362,200,gen,2362,IIT Bombay,Chemical Engineering,,4,Ahmedabad,Gujarat
241003457,24168,111,SC,759,IIT (ISM) Dhanbad,Mathematics and Computing,,4,Ahmedabad,Gujarat
241003462,16491,126,gen,16491,,,,,Ahmedabad,Gujarat
241003463,,,PREP-SC,372,,,,,Ahmedabad,Gujarat
241003477,18367,122,gen,18367,,,,,Ahmedabad,Gujarat
241003479,,,PREP-SC,7132,,,,,Ahmedabad,Gujarat
241003481,13086,135,gen,13086,,,,,Ahmedabad,Gujarat
241003485,22552,114,gen,22552,,,,,Ahmedabad,Gujarat
241003494,,,PREP-SC,3920,,,,,Ahmedabad,Gujarat
241003499,628,246,gen,628,IIT Bombay,Electrical Engineering,,5,Ahmedabad,Gujarat
241003505,,,PREP-ST,471,,,,,Ahmedabad,Gujarat
241003507,6621,161,gen,6621,IIT Indore,Mechanical Engineering,,4,Ahmedabad,Gujarat
241003509,19665,120,gen,19665,,,,,Ahmedabad,Gujarat
241003517,,95,SC,1382,,,,,Ahmedabad,Gujarat
241003518,9687,147,gen,9687,,,,,Ahmedabad,Gujarat
241003524,,,PREP-ST,2904,,,,,Ahmedabad,Gujarat
241003525,662,246,gen,662,IIT Roorkee,Data Science and Artificial Intelligence,,4,Ahmedabad,Gujarat
241003528,5371,169,gen,5371,IIT Goa,Computer Science and Engineering,,4,Ahmedabad,Gujarat
241003531,14553,131,SC,384,IIT Bombay,Mechanical Engineering,,4,Ahmedabad,Gujarat
241003534,6485,162,gen,6485,IIT Goa,Mathematics and Computing,,4,Ahmedabad,Gujarat
241003540,25212,109,gen,25212,,,,,Ahmedabad,Gujarat
241003542,11380,140,EWS,1501,IIT Kharagpur,Mining Engineering,,4,Ahmedabad,Gujarat
241003543,21598,116,EWS,3218,,,,,Ahmedabad,Gujarat
241003547,,105,EWS,4399,,,,,Ahmedabad,Gujarat
241003548,7667,155,gen,7667,,,,,Ahmedabad,Gujarat
241003552,,81,SC,2137,IIT Ropar,Chemical Engineering,,4,Ahmedabad,Gujarat
241003553,18151,123,gen,18151,,,,,Ahmedabad,Gujarat
241003554,12974,135,gen,12974,,,,,Ahmedabad,Gujarat
241003555,1486,219,gen,1486,IIT Bombay,Mechanical Engineering,,4,Ahmedabad,Gujarat
241003557,,,PREP-SC,5253,,,,,Ahmedabad,Gujarat
241003559,7294,157,gen,7294,IIT Dharwad,Mathematics and Computing,,4,Ahmedabad,Gujarat
241003560,9652,147,gen,9652,IIT Mandi,Mechanical Engineering,,4,Ahmedabad,Gujarat
241003566,11301,141,OBC,2560,IIT Roorkee,Physics,,5,Ahmedabad,Gujarat
241003570,6321,163,gen,6321,IIT Jodhpur,Electrical Engineering,,4,Ahmedabad,Gujarat
241003577,,99,OBC,8880,,,,,Ahmedabad,Gujarat
241003579,,62,ST,1282,,,,,Ahmedabad,Gujarat
241003582,10074,145,gen,10074,IIT Mandi,Engineering Physics,,4,Ahmedabad,Gujarat
241003584,4886,173,gen,4886,,,,,Ahmedabad,Gujarat
241003593,5972,165,OBC,1196,IIT Bombay,Industrial Engineering and Operations Research,,4,Ahmedabad,Gujarat
241003595,17131,125,gen,17131,,,,,Ahmedabad,Gujarat
241003597,1924,207,gen,1924,IIT Delhi,Engineering Physics,,4,Ahmedabad,Gujarat
241003604,,106,OBC,7230,,,,,Ahmedabad,Gujarat
241003610,14657,131,gen,14657,,,,,Ahmedabad,Gujarat
241003612,9591,147,gen,9591,IIT Jodhpur,Chemical Engineering,,4,Ahmedabad,Gujarat
241003620,12806,136,OBC,2976,,,,,Ahmedabad,Gujarat
241003622,21870,115,SC,674,IIT Mandi,Computer Science and Engineering,,4,Ahmedabad,Gujarat
241003625,9719,146,gen,9719,IIT Jodhpur,Electrical Engineering,,4,Ahmedabad,Gujarat
241003626,4397,177,gen,4397,IIT Kharagpur,Chemical Engineering,,4,Ahmedabad,Gujarat
241003632,1569,216,gen,1569,IIT Bombay,Engineering Physics,,4,Ahmedabad,Gujarat
241003637,14079,132,gen,14079,IIT Palakkad,Civil Engineering,,4,Ahmedabad,Gujarat
241003638,5574,168,gen,5574,IIT Jodhpur,Electrical Engineering,,4,Ahmedabad,Gujarat
241003639,21650,116,EWS,3232,,,,,Ahmedabad,Gujarat
241003644,,,PREP-SC,4803,,,,,Ahmedabad,Gujarat
241003652,15985,128,gen,15985,,,,,Ahmedabad,Gujarat
241003655,15696,128,gen,15696,,,,,Ahmedabad,Gujarat
241003659,19506,120,OBC,4890,,,,,Ahmedabad,Gujarat
241003661,19420,120,gen,19420,,,,,Ahmedabad,Gujarat
241003663,13761,133,gen,13761,IIT (BHU) Varanasi,Bioengineering with M.Tech in Biomedical Technology,,5,Ahmedabad,Gujarat
241003666,,,PREP-SC,7708,,,,,Ahmedabad,Gujarat
241003670,,61,SC,4348,,,,,Ahmedabad,Gujarat
241003674,,105,EWS,4383,,,,,Ahmedabad,Gujarat
241003686,17200,125,OBC,4209,IIT Roorkee,Geological Technology,,5,Ahmedabad,Gujarat
241003687,2386,200,gen,2386,IIT Bombay,Chemical Engineering,,4,Ahmedabad,Gujarat
241003702,,100,OBC,8528,IIT (BHU) Varanasi,Metallurgical Engineering,,4,Ahmedabad,Gujarat
241003705,24258,111,gen,24258,,,,,Ahmedabad,Gujarat
241003712,9587,147,gen,9587,,,,,Ahmedabad,Gujarat
241003713,9321,148,EWS,1187,IIT Jodhpur,Mechanical Engineering,,4,Ahmedabad,Gujarat
241003714,15223,129,gen,15223,,,,,Ahmedabad,Gujarat
241003715,7792,155,EWS,950,IIT Goa,Mathematics and Computing,,4,Ahmedabad,Gujarat
241003717,,73,SC,2876,,,,,Ahmedabad,Gujarat
241003720,,77,SC,2453,,,,,Ahmedabad,Gujarat
241003722,16312,127,gen,16312,,,,,Ahmedabad,Gujarat
241003724,118,281,gen,118,IIT Delhi,Mathematics and Computing,,4,Ahmedabad,Gujarat
241003727,13854,133,EWS,1878,,,,,Ahmedabad,Gujarat
241003729,1638,214,gen,1638,IIT Gandhinagar,Computer Science and Engineering,,4,Ahmedabad,Gujarat
241003734,2814,193,gen,2814,IIT Madras,Aerospace Engineering,,4,Ahmedabad,Gujarat
241003735,2958,192,EWS,297,IIT Bombay,Mechanical Engineering,,4,Ahmedabad,Gujarat
241003737,7081,159,gen,7081,IIT (BHU) Varanasi,Chemical Engineering,,4,Ahmedabad,Gujarat
241003745,17574,124,gen,17574,,,,,Ahmedabad,Gujarat
241003747,2538,197,EWS,243,IIT Roorkee,Electronics and Communication Engineering,,4,Ahmedabad,Gujarat
241003748,,,PREP-SC,3452,,,,,Ahmedabad,Gujarat
241003749,25602,109,gen,25602,,,,,Ahmedabad,Gujarat
241003751,,58,SC,4732,,,,,Ahmedabad,Gujarat
241003756,,,PREP-ST,2141,,,,,Ahmedabad,Gujarat
241003758,25847,109,gen,25847,,,,,Ahmedabad,Gujarat
241003766,23783,112,OBC,6136,,,,,Ahmedabad,Gujarat
241003768,16617,126,gen,16617,,,,,Ahmedabad,Gujarat
241003769,3110,189,EWS,318,IIT Roorkee,Electrical Engineering,,4,Ahmedabad,Gujarat
241003772,5243,170,gen,5243,IIT Bombay,Energy Engineering,,4,Ahmedabad,Gujarat
241003777,2056,205,gen,2056,IIT Madras,Mechanical Engineering,,4,Ahmedabad,Gujarat
241003778,15367,129,gen,15367,,,,,Ahmedabad,Gujarat
241003781,22849,113,gen,22849,,,,,Ahmedabad,Gujarat
241003786,13113,135,gen,13113,,,,,Ahmedabad,Gujarat
241003787,5192,171,gen,5192,IIT Guwahati,Energy Engineering,,4,Ahmedabad,Gujarat
241003788,15611,128,EWS,2161,,,,,Ahmedabad,Gujarat
241003795,4541,176,gen,4541,,,,,Ahmedabad,Gujarat
241003798,24867,110,gen,24867,,,,,Ahmedabad,Gujarat
241003800,3606,184,gen,3606,IIT Roorkee,Mechanical Engineering,,4,Ahmedabad,Gujarat
241003805,,108,EWS,4077,,,,,Ahmedabad,Gujarat
241003811,14590,131,gen,14590,,,,,Ahmedabad,Gujarat
241003812,19834,119,EWS,2875,,,,,Ahmedabad,Gujarat
241003813,6345,163,gen,6345,IIT Guwahati,Chemical Science and Technology,,4,Ahmedabad,Gujarat
241003814,18607,122,OBC,4623,,,,,Ahmedabad,Gujarat
241003817,,68,SC,3486,,,,,Ahmedabad,Gujarat
241003819,17484,124,gen,17484,,,,,Ahmedabad,Gujarat
241003820,,,PREP-ST,1870,,,,,Ahmedabad,Gujarat
241003821,,,PREP-ST,297,,,,,Ahmedabad,Gujarat
241003823,,,PREP-SC,5628,,,,,Ahmedabad,Gujarat
241003825,4276,178,gen,4276,IIT Guwahati,Mechanical Engineering,,4,Ahmedabad,Gujarat
241003829,25378,109,EWS,3903,,,,,Ahmedabad,Gujarat
241003834,4265,178,gen,4265,IIT Hyderabad,Mechanical Engineering,,4,Ahmedabad,Gujarat
241003844,7262,157,gen,7262,,,,,Ahmedabad,Gujarat
241003849,7369,157,gen,7369,,,,,Ahmedabad,Gujarat
241003850,15690,128,gen,15690,,,,,Ahmedabad,Gujarat
241004001,4882,173,gen,4882,IIT Roorkee,Production and Industrial Engineering,,4,Ahmedabad,Gujarat
241004004,997,233,SC,16,IIT Bombay,Computer Science and Engineering,,4,Ahmedabad,Gujarat
241004008,,,PREP-ST,1823,,,,,Ahmedabad,Gujarat
241004011,24304,111,gen,24304,,,,,Ahmedabad,Gujarat
241004012,,81,SC,2174,IIT Kharagpur,Ocean Engineering and Naval Architecture,,4,Ahmedabad,Gujarat
241004014,,,PREP-SC,111,,,,,Ahmedabad,Gujarat
241004017,7277,157,gen,7277,IIT Gandhinagar,Chemical Engineering,,4,Ahmedabad,Gujarat
241004025,22496,114,EWS,3372,,,,,Ahmedabad,Gujarat
241004026,,104,EWS,4593,,,,,Ahmedabad,Gujarat
241004028,910,233,gen,910,IIT Bombay,Mechanical Engineering,,4,Ahmedabad,Gujarat
241004030,2532,197,SC,49,IIT Delhi,Computer Science and Engineering,,4,Ahmedabad,Gujarat
241004033,23761,112,gen,23761,,,,,Ahmedabad,Gujarat
241004034,9017,149,EWS,1139,IIT Delhi,Textile Technology,,4,Ahmedabad,Gujarat
241004035,22732,114,gen,22732,,,,,Ahmedabad,Gujarat
241004036,,69,SC,3231,,,,,Ahmedabad,Gujarat
241004043,11735,139,gen,11735,IIT Ropar,Metallurgical and Materials Engineering,,4,Ahmedabad,Gujarat
241004046,5476,168,gen,5476,IIT Jodhpur,Electrical Engineering,,4,Ahmedabad,Gujarat
241004049,5205,170,gen,5205,IIT Dharwad,Computer Science and Engineering,,4,Ahmedabad,Gujarat
241004050,,95,SC,1316,,,,,Ahmedabad,Gujarat
241004064,5594,168,gen,5594,IIT Palakkad,Computer Science and Engineering,,4,Ahmedabad,Gujarat
241004072,19238,120,gen,19238,,,,,Ahmedabad,Gujarat
241004077,23993,112,gen,23993,,,,,Ahmedabad,Gujarat
241004079,,,PREP-SC,779,,,,,Ahmedabad,Gujarat
241004082,,57,SC,4969,,,,,Ahmedabad,Gujarat
241004086,17429,124,OBC,4280,,,,,Ahmedabad,Gujarat
241004089,17637,124,gen,17637,,,,,Ahmedabad,Gujarat
241004090,7946,154,OBC,1674,IIT Ropar,Mathematics and Computing,,4,Ahmedabad,Gujarat
241004091,,100,OBC,8785,,,,,Ahmedabad,Gujarat
241004100,,,PREP-ST,2351,,,,,Ahmedabad,Gujarat
241004101,4379,177,gen,4379,IIT Guwahati,Mechanical Engineering,,4,Ahmedabad,Gujarat
241004104,1116,227,gen,1116,IIT Kharagpur,Mathematics and Computing,,4,Ahmedabad,Gujarat
241004105,23850,112,gen,23850,,,,,Ahmedabad,Gujarat
241004107,3132,189,gen,3132,IIT Roorkee,Mechanical Engineering,,4,Ahmedabad,Gujarat
241004111,,102,EWS,4767,,,,,Ahmedabad,Gujarat
241004114,17360,124,EWS,2464,,,,,Ahmedabad,Gujarat
241004115,10844,142,OBC,2419,IIT Bhilai,Computer Science and Engineering,,4,Ahmedabad,Gujarat
241004122,,,PREP-SC,4038,,,,,Ahmedabad,Gujarat
241004125,16273,127,OBC,3968,IIT Indore,Civil Engineering,,4,Ahmedabad,Gujarat
241004128,21237,116,gen,21237,,,,,Ahmedabad,Gujarat
241004132,13550,134,EWS,1834,,,,,Ahmedabad,Gujarat
241004133,25320,109,gen,25320,,,,,Ahmedabad,Gujarat
241004136,,58,SC,4881,,,,,Ahmedabad,Gujarat
241004138,17817,123,OBC,4389,,,,,Ahmedabad,Gujarat
241004144,13916,132,gen,13916,,,,,Ahmedabad,Gujarat
241004145,12049,138,gen,12049,,,,,Ahmedabad,Gujarat
241004147,4292,178,gen,4292,IIT Guwahati,Mechanical Engineering,,4,Ahmedabad,Gujarat
241004157,6587,161,gen,6587,,,,,Ahmedabad,Gujarat
241004168,18472,122,gen,18472,IIT (ISM) Dhanbad,Petroleum Engineering,,4,Ahmedabad,Gujarat
241004170,,,PREP-SC,403,,,,,Ahmedabad,Gujarat
